Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Population
2017,stroke,Illinois,6020,38.9,12802023
2017,stroke,Indiana,3150,40.2,6666818
2017,stroke,Iowa,1416,32.8,3145711
2017,stroke,Kansas,1355,37.7,2913123
2017,stroke,Kentucky,2050,39.4,4454189
2017,stroke,Louisiana,2460,47.4,4684333
2017,stroke,Maine,736,37.5,1335907
2017,stroke,Maryland,2820,40.2,6052177
2017,stroke,Massachusetts,2367,26.5,6859819
2017,stroke,Michigan,5002,39.3,9962311
2017,stroke,Minnesota,2250,32.6,5576606
2017,stroke,Mississippi,1723,51.1,2984100
2017,stroke,Missouri,3159,41.0,6113532
2017,stroke,Montana,487,35.6,1050493
2017,stroke,Nebraska,760,31.5,1920076
2017,stroke,Nevada,1137,35.9,2998039
2017,stroke,New Hampshire,514,28.9,1342795
2017,stroke,New Jersey,3474,30.2,9005644
2017,stroke,New Mexico,878,34.8,2088070
2017,stroke,New York,6264,24.6,19849399
2017,stroke,North Carolina,5098,43.0,10273419
2017,stroke,North Dakota,337,35.4,755393
2017,stroke,Ohio,6425,42.8,11658609
2017,stroke,Oklahoma,1947,43.3,3930864
2017,stroke,Oregon,2066,39.9,4142776
2017,stroke,Pennsylvania,6700,36.5,12805537
2017,stroke,Rhode Island,425,29.4,1059639
2017,stroke,South Carolina,2691,44.9,5024369
2017,stroke,South Dakota,414,36.7,869666
2017,stroke,Tennessee,3519,45.0,6715984
2017,stroke,Texas,10790,41.3,28304596
2017,stroke,Utah,888,36.2,3101833
2017,stroke,Vermont,249,28.9,623657
2017,stroke,Virginia,3555,37.5,8470020
2017,stroke,Washington,3028,36.9,7405743
2017,stroke,West Virginia,1058,41.8,1815857
2017,stroke,Wisconsin,2513,33.5,5795483
2017,stroke,Wyoming,190,28.4,579315
2017,clrd,United States,160201,40.9,329791231
2017,clrd,Alabama,3484,57.8,4874747
2017,clrd,Alaska,204,35.9,739795
2017,clrd,Arizona,3802,42.7,7016270
2017,clrd,Arkansas,2517,66.7,3004279
2017,clrd,California,13881,32.2,39536653
2017,clrd,Colorado,2604,45.6,5607154
2017,clrd,Connecticut,1471,30.4,3588184
2017,clrd,Delaware,526,40.8,961939
2017,clrd,District of Columbia,137,19.6,693972
2017,clrd,Florida,12619,39.0,20984400
2017,clrd,Georgia,4866,46.2,10429379
2017,clrd,Hawaii,378,19.0,1427538
2017,clrd,Idaho,925,47.3,1716943
2017,clrd,Illinois,5732,37.6,12802023
2017,clrd,Indiana,4375,55.2,6666818
2017,clrd,Iowa,1939,46.5,3145711
2017,clrd,Kansas,1832,51.7,2913123
2017,clrd,Kentucky,3480,64.5,4454189
2017,clrd,Louisiana,2467,46.6,4684333
2017,clrd,Maine,982,48.7,1335907
2017,clrd,Maryland,2079,29.9,6052177
2017,clrd,Massachusetts,2842,32.5,6859819
2017,clrd,Michigan,5688,44.3,9962311
2017,clrd,Minnesota,2464,36.3,5576606
2017,clrd,Mississippi,2037,58.3,2984100
2017,clrd,Missouri,3940,50.7,6113532
2017,clrd,Montana,752,53.5,1050493
2017,clrd,Nebraska,1224,52.6,1920076
2017,clrd,Nevada,1633,50.0,2998039
2017,clrd,New Hampshire,755,43.0,1342795
2017,clrd,New Jersey,3227,28.6,9005644
2017,clrd,New Mexico,1143,44.2,2088070
2017,clrd,New York,7258,28.9,19849399
2017,clrd,North Carolina,5540,45.3,10273419
2017,clrd,North Dakota,358,38.3,755393
2017,clrd,Ohio,7312,48.5,11658609
2017,clrd,Oklahoma,3035,65.9,3930864
2017,clrd,Oregon,2088,39.7,4142776
2017,clrd,Pennsylvania,6667,37.1,12805537
2017,clrd,Rhode Island,521,36.2,1059639
2017,clrd,South Carolina,2983,47.9,5024369
2017,clrd,South Dakota,505,45.3,869666
2017,clrd,Tennessee,4657,57.4,6715984
2017,clrd,Texas,10650,40.5,28304596
2017,clrd,Utah,826,32.1,3101833
2017,clrd,Vermont,375,43.0,623657
2017,clrd,Virginia,3363,34.9,8470020
2017,clrd,Washington,3177,38.1,7405743
2017,clrd,West Virginia,1681,64.3,1815857
2017,clrd,Wisconsin,2834,38.3,5795483
2017,clrd,Wyoming,366,53.8,579315
2017,diabetes,United States,83564,21.5,329791231
2017,diabetes,Alabama,1173,19.8,4874747
2017,diabetes,Alaska,130,19.3,739795
2017,diabetes,Arizona,2054,23.7,7016270
2017,diabetes,Arkansas,1180,32.4,3004279
2017,diabetes,California,9595,22.1,39536653
2017,diabetes,Colorado,1017,17.2,5607154
2017,diabetes,Connecticut,694,14.5,3588184
2017,diabetes,Delaware,244,19.1,961939
2017,diabetes,District of Columbia,138,20.1,693972
2017,diabetes,Florida,6172,20.2,20984400
2017,diabetes,Georgia,2348,21.5,10429379
2017,diabetes,Hawaii,299,15.9,1427538
2017,diabetes,Idaho,394,20.3,1716943
2017,diabetes,Illinois,2927,19.2,12802023
2017,diabetes,Indiana,2096,26.6,6666818
2017,diabetes,Iowa,918,22.8,3145711
2017,diabetes,Kansas,874,25.2,2913123
2017,diabetes,Kentucky,1474,27.7,4454189
