State,Year,Spending
South Dakota,2002,4836.0
Southeast,2002,4606.0
Alabama,2002,4513.0
Arkansas,2002,4355.0
Florida,2002,5021.0
Georgia,2002,4139.0
Kentucky,2002,4823.0
Louisiana,2002,4544.0
Mississippi,2002,4403.0
North Carolina,2002,4574.0
South Carolina,2002,4547.0
Tennessee,2002,4688.0
Virginia,2002,4194.0
West Virginia,2002,5250.0
Southwest,2002,4174.0
Arizona,2002,3791.0
New Mexico,2002,4042.0
Oklahoma,2002,4358.0
Texas,2002,4251.0
Rocky Mountains,2002,4119.0
Colorado,2002,4275.0
Idaho,2002,4004.0
Montana,2002,4477.0
Utah,2002,3619.0
Wyoming,2002,4706.0
Far West,2002,4225.0
Alaska,2002,5671.0
California,2002,4129.0
Hawaii,2002,4412.0
Nevada,2002,4072.0
Oregon,2002,4396.0
Washington,2002,4541.0
United States,2003,5090.0
New England,2003,6248.0
Connecticut,2003,6217.0
Maine,2003,6002.0
Massachusetts,2003,6599.0
New Hampshire,2003,5240.0
Rhode Island,2003,5992.0
Vermont,2003,5840.0
Mideast,2003,5975.0
Delaware,2003,6144.0
District of Columbia,2003,7646.0
Maryland,2003,5385.0
New Jersey,2003,5698.0
New York,2003,6331.0
Pennsylvania,2003,5791.0
Great Lakes,2003,5156.0
Illinois,2003,5077.0
Indiana,2003,5030.0
Michigan,2003,4895.0
Ohio,2003,5419.0
Wisconsin,2003,5411.0
Plains,2003,5322.0
Iowa,2003,5211.0
Kansas,2003,5138.0
Minnesota,2003,5675.0
Missouri,2003,5185.0
Nebraska,2003,5223.0
North Dakota,2003,5499.0
South Dakota,2003,5182.0
Southeast,2003,4928.0
Alabama,2003,4995.0
Arkansas,2003,4618.0
Florida,2003,5327.0
Georgia,2003,4367.0
Kentucky,2003,5084.0
Louisiana,2003,4902.0
Mississippi,2003,4699.0
North Carolina,2003,4896.0
South Carolina,2003,4836.0
Tennessee,2003,5085.0
Virginia,2003,4550.0
West Virginia,2003,5628.0
Southwest,2003,4410.0
Arizona,2003,4090.0
New Mexico,2003,4287.0
Oklahoma,2003,4755.0
Texas,2003,4445.0
Rocky Mountains,2003,4407.0
Colorado,2003,4585.0
Idaho,2003,4253.0
Montana,2003,4802.0
Utah,2003,3873.0
Wyoming,2003,5003.0
Far West,2003,4578.0
Alaska,2003,6100.0
California,2003,4493.0
Hawaii,2003,4757.0
Nevada,2003,4376.0
Oregon,2003,4675.0
Washington,2003,4882.0
United States,2004,5406.0
New England,2004,6696.0
Connecticut,2004,6714.0
Maine,2004,6471.0
Massachusetts,2004,7012.0
New Hampshire,2004,5733.0
Rhode Island,2004,6446.0
Vermont,2004,6233.0
Mideast,2004,6344.0
Delaware,2004,6577.0
District of Columbia,2004,8359.0
Maryland,2004,5724.0
New Jersey,2004,6007.0
New York,2004,6720.0
Pennsylvania,2004,6166.0
Great Lakes,2004,5490.0
Illinois,2004,5344.0
Indiana,2004,5394.0
Michigan,2004,5261.0
Ohio,2004,5771.0
Wisconsin,2004,5766.0
Plains,2004,5614.0
Iowa,2004,5470.0
Kansas,2004,5456.0
Minnesota,2004,6000.0
Missouri,2004,5433.0
Nebraska,2004,5584.0
North Dakota,2004,5839.0
South Dakota,2004,5414.0
Southeast,2004,5265.0
Alabama,2004,5238.0
Arkansas,2004,4879.0
Florida,2004,5671.0
Georgia,2004,4725.0
Kentucky,2004,5385.0
Louisiana,2004,5230.0
Mississippi,2004,5060.0
North Carolina,2004,5243.0
South Carolina,2004,5128.0
Tennessee,2004,5500.0
Virginia,2004,4877.0
West Virginia,2004,6013.0
Southwest,2004,4647.0
Arizona,2004,4390.0
New Mexico,2004,4671.0
Oklahoma,2004,4961.0
Texas,2004,4660.0
Rocky Mountains,2004,4662.0
Colorado,2004,4835.0
Idaho,2004,4474.0
Montana,2004,5055.0
Utah,2004,4158.0
Wyoming,2004,5282.0
Far West,2004,4854.0
Alaska,2004,6445.0
California,2004,4766.0
Hawaii,2004,5016.0
Nevada,2004,4667.0
Oregon,2004,5023.0
Washington,2004,5130.0
United States,2005,5734.0
New England,2005,7120.0
Connecticut,2005,6988.0
Maine,2005,6875.0
Massachusetts,2005,7479.0
New Hampshire,2005,6285.0
Rhode Island,2005,6986.0
Vermont,2005,6665.0
Mideast,2005,6721.0
Delaware,2005,6946.0
District of Columbia,2005,8908.0
Maryland,2005,6075.0
New Jersey,2005,6457.0
New York,2005,7051.0
Pennsylvania,2005,6572.0
Great Lakes,2005,5812.0
Illinois,2005,5679.0
Indiana,2005,5638.0
Michigan,2005,5564.0
Ohio,2005,6113.0
Wisconsin,2005,6139.0
Plains,2005,5920.0
Iowa,2005,5808.0
Kansas,2005,5758.0
Minnesota,2005,6328.0
Missouri,2005,5665.0
Nebraska,2005,5931.0
North Dakota,2005,6175.0
South Dakota,2005,5887.0
Southeast,2005,5539.0
Alabama,2005,5546.0
Arkansas,2005,5238.0
Florida,2005,5954.0
Georgia,2005,4905.0
Kentucky,2005,5659.0
Louisiana,2005,5412.0
Mississippi,2005,5364.0
North Carolina,2005,5542.0
South Carolina,2005,5408.0
Tennessee,2005,5765.0
Virginia,2005,5178.0
West Virginia,2005,6385.0
Southwest,2005,5047.0
Arizona,2005,4841.0
New Mexico,2005,5105.0
Oklahoma,2005,5366.0
Texas,2005,5046.0
Rocky Mountains,2005,4884.0
Colorado,2005,4952.0
Idaho,2005,4793.0
Montana,2005,5440.0
Utah,2005,4428.0
Wyoming,2005,5686.0
Far West,2005,5189.0
Alaska,2005,7081.0
California,2005,5097.0
Hawaii,2005,5381.0
Nevada,2005,4911.0
Oregon,2005,5395.0
Washington,2005,5462.0
United States,2006,6056.0
New England,2006,7614.0
Connecticut,2006,7391.0
Maine,2006,7295.0
Massachusetts,2006,8055.0
New Hampshire,2006,6763.0
Rhode Island,2006,7326.0
Vermont,2006,7304.0
Mideast,2006,7097.0
Delaware,2006,7301.0
District of Columbia,2006,9251.0
Maryland,2006,6560.0
New Jersey,2006,6760.0
New York,2006,7485.0
Pennsylvania,2006,6868.0
Great Lakes,2006,6172.0
Illinois,2006,6042.0
Indiana,2006,5996.0
Michigan,2006,5979.0
Ohio,2006,6397.0
Wisconsin,2006,6553.0
Plains,2006,6210.0
Iowa,2006,6172.0
Kansas,2006,6026.0
Minnesota,2006,6673.0
Missouri,2006,5816.0
Nebraska,2006,6363.0
North Dakota,2006,6556.0
South Dakota,2006,6267.0
Southeast,2006,5847.0
Alabama,2006,5768.0
Arkansas,2006,5462.0
Florida,2006,6298.0
Georgia,2006,5181.0
Kentucky,2006,5981.0
Louisiana,2006,5935.0
Mississippi,2006,5775.0
North Carolina,2006,5835.0
South Carolina,2006,5675.0
Tennessee,2006,5958.0
Virginia,2006,5484.0
West Virginia,2006,6707.0
Southwest,2006,5297.0
Arizona,2006,5127.0
New Mexico,2006,5369.0
Oklahoma,2006,5688.0
Texas,2006,5275.0
Rocky Mountains,2006,5185.0
Colorado,2006,5295.0
Idaho,2006,5060.0
Montana,2006,5759.0
Utah,2006,4635.0
Wyoming,2006,6154.0
Far West,2006,5485.0
Alaska,2006,7423.0
California,2006,5394.0
Hawaii,2006,5555.0
Nevada,2006,5152.0
Oregon,2006,5760.0
Washington,2006,5754.0
United States,2007,6381.0
New England,2007,8088.0
Connecticut,2007,7799.0
Maine,2007,7637.0
Massachusetts,2007,8617.0
New Hampshire,2007,7227.0
Rhode Island,2007,7717.0
Vermont,2007,7654.0
Mideast,2007,7469.0
Delaware,2007,7721.0
District of Columbia,2007,9851.0
Maryland,2007,6945.0
New Jersey,2007,7138.0
New York,2007,7841.0
Pennsylvania,2007,7239.0
Great Lakes,2007,6513.0
Illinois,2007,6467.0
Indiana,2007,6296.0
Michigan,2007,6318.0
Ohio,2007,6674.0
Wisconsin,2007,6883.0
Plains,2007,6595.0
Iowa,2007,6444.0
Kansas,2007,6349.0
Minnesota,2007,7045.0
Missouri,2007,6329.0
Nebraska,2007,6653.0
North Dakota,2007,6992.0
South Dakota,2007,6591.0
Southeast,2007,6110.0
Alabama,2007,5942.0
Arkansas,2007,5757.0
Florida,2007,6608.0
Georgia,2007,5365.0
Kentucky,2007,6206.0
Louisiana,2007,6286.0
Mississippi,2007,6161.0
North Carolina,2007,5996.0
South Carolina,2007,5915.0
Tennessee,2007,6231.0
Virginia,2007,5803.0
West Virginia,2007,7089.0
Southwest,2007,5554.0
Arizona,2007,5441.0
New Mexico,2007,5702.0
Oklahoma,2007,6039.0
Texas,2007,5497.0
Rocky Mountains,2007,5452.0
Colorado,2007,5560.0
Idaho,2007,5314.0
Montana,2007,6102.0
Utah,2007,4863.0
Wyoming,2007,6560.0
Far West,2007,5859.0
Alaska,2007,7923.0
California,2007,5775.0
Hawaii,2007,6093.0
Nevada,2007,5436.0
Oregon,2007,6003.0
Washington,2007,6157.0
United States,2008,6603.0
New England,2008,8445.0
Connecticut,2008,8195.0
Maine,2008,7924.0
Massachusetts,2008,8974.0
New Hampshire,2008,7583.0
Rhode Island,2008,8048.0
Vermont,2008,7972.0
Mideast,2008,7699.0
Delaware,2008,8107.0
District of Columbia,2008,10223.0
Maryland,2008,7226.0
New Jersey,2008,7353.0
New York,2008,8059.0
Pennsylvania,2008,7457.0
Great Lakes,2008,6688.0
Illinois,2008,6629.0
Indiana,2008,6380.0
Michigan,2008,6552.0
Ohio,2008,6816.0
Wisconsin,2008,7148.0
Plains,2008,6849.0
Iowa,2008,6658.0
Kansas,2008,6570.0
Minnesota,2008,7227.0
Missouri,2008,6651.0
Nebraska,2008,6928.0
North Dakota,2008,7319.0
South Dakota,2008,6969.0
Southeast,2008,6299.0
Alabama,2008,6100.0
Arkansas,2008,5985.0
Florida,2008,6856.0
Georgia,2008,5384.0
Kentucky,2008,6351.0
Louisiana,2008,6594.0
Mississippi,2008,6380.0
North Carolina,2008,6166.0
South Carolina,2008,6158.0
Tennessee,2008,6310.0
Virginia,2008,6098.0
West Virginia,2008,7311.0
Southwest,2008,5808.0
Arizona,2008,5677.0
New Mexico,2008,5997.0
Oklahoma,2008,6372.0
Texas,2008,5741.0
Rocky Mountains,2008,5605.0
Colorado,2008,5692.0
Idaho,2008,5448.0
Montana,2008,6345.0
Utah,2008,5021.0
Wyoming,2008,6796.0
Far West,2008,6124.0
Alaska,2008,8314.0
California,2008,6035.0
Hawaii,2008,6364.0
Nevada,2008,5614.0
Oregon,2008,6232.0
Washington,2008,6489.0
United States,2009,6866.0
New England,2009,8869.0
Connecticut,2009,8721.0
Maine,2009,8192.0
Massachusetts,2009,9361.0
New Hampshire,2009,8129.0
Rhode Island,2009,8343.0
Vermont,2009,8464.0
Mideast,2009,8051.0
Delaware,2009,8385.0
District of Columbia,2009,10701.0
Maryland,2009,7518.0
New Jersey,2009,7756.0
New York,2009,8506.0
Pennsylvania,2009,7655.0
Great Lakes,2009,6997.0
Illinois,2009,6859.0
Indiana,2009,6710.0
Michigan,2009,6824.0
Ohio,2009,7242.0
Wisconsin,2009,7441.0
Plains,2009,7077.0
Iowa,2009,6889.0
Kansas,2009,6727.0
Minnesota,2009,7532.0
Missouri,2009,6818.0
Nebraska,2009,7104.0
North Dakota,2009,7707.0
South Dakota,2009,7372.0
Southeast,2009,6549.0
Alabama,2009,6322.0
Arkansas,2009,6223.0
Florida,2009,7118.0
Georgia,2009,5527.0
Kentucky,2009,6676.0
Louisiana,2009,6929.0
Mississippi,2009,6551.0
North Carolina,2009,6454.0
South Carolina,2009,6338.0
Tennessee,2009,6497.0
Virginia,2009,6414.0
West Virginia,2009,7748.0
Southwest,2009,6027.0
Arizona,2009,5877.0
New Mexico,2009,6264.0
Oklahoma,2009,6514.0
Texas,2009,5973.0
Rocky Mountains,2009,5767.0
Colorado,2009,5860.0
Idaho,2009,5668.0
Montana,2009,6637.0
Utah,2009,5099.0
Wyoming,2009,6943.0
Far West,2009,6318.0
Alaska,2009,8550.0
California,2009,6207.0
Hawaii,2009,6510.0
Nevada,2009,5695.0
Oregon,2009,6502.0
Washington,2009,6805.0
United States,2010,7052.0
New England,2010,9043.0
Connecticut,2010,8831.0
Maine,2010,8342.0
Massachusetts,2010,9533.0
New Hampshire,2010,8445.0
Rhode Island,2010,8460.0
Vermont,2010,8850.0
Mideast,2010,8313.0
Delaware,2010,8802.0
District of Columbia,2010,11112.0
Maryland,2010,7744.0
New Jersey,2010,7815.0
New York,2010,8759.0
Pennsylvania,2010,8069.0
Great Lakes,2010,7216.0
Illinois,2010,7159.0
Indiana,2010,6859.0
Michigan,2010,7089.0
Ohio,2010,7397.0
Wisconsin,2010,7605.0
Plains,2010,7291.0
Iowa,2010,7095.0
Kansas,2010,6803.0
Minnesota,2010,7801.0
Missouri,2010,6990.0
Nebraska,2010,7406.0
North Dakota,2010,8011.0
South Dakota,2010,7766.0
Southeast,2010,6670.0
Alabama,2010,6406.0
Arkansas,2010,6378.0
Florida,2010,7269.0
Georgia,2010,5551.0
Kentucky,2010,6861.0
Louisiana,2010,7187.0
Mississippi,2010,6554.0
North Carolina,2010,6518.0
South Carolina,2010,6507.0
Tennessee,2010,6630.0
Virginia,2010,6548.0
West Virginia,2010,7920.0
Southwest,2010,6169.0
Arizona,2010,6020.0
New Mexico,2010,6430.0
Oklahoma,2010,6664.0
Texas,2010,6111.0
Rocky Mountains,2010,5883.0
Colorado,2010,5932.0
Idaho,2010,5909.0
Montana,2010,6919.0
Utah,2010,5133.0
Wyoming,2010,7244.0
Far West,2010,6552.0
Alaska,2010,8927.0
California,2010,6480.0
Hawaii,2010,6440.0
Nevada,2010,5788.0
Oregon,2010,6750.0
Washington,2010,6912.0
United States,2011,7236.0
New England,2011,9226.0
Connecticut,2011,8910.0
Maine,2011,8584.0
Massachusetts,2011,9720.0
New Hampshire,2011,8717.0
Rhode Island,2011,8665.0
Vermont,2011,9209.0
Mideast,2011,8550.0
Delaware,2011,9202.0
District of Columbia,2011,11537.0
Maryland,2011,7928.0
New Jersey,2011,7970.0
New York,2011,8991.0
Pennsylvania,2011,8371.0
Great Lakes,2011,7393.0
Illinois,2011,7300.0
Indiana,2011,7104.0
Michigan,2011,7345.0
Ohio,2011,7488.0
Wisconsin,2011,7825.0
Plains,2011,7537.0
Iowa,2011,7310.0
Kansas,2011,7071.0
Minnesota,2011,8013.0
Missouri,2011,7265.0
Nebraska,2011,7580.0
North Dakota,2011,8324.0
South Dakota,2011,8154.0
Southeast,2011,6813.0
Alabama,2011,6513.0
Arkansas,2011,6541.0
Florida,2011,7375.0
Georgia,2011,5696.0
Kentucky,2011,7097.0
Louisiana,2011,7124.0
Mississippi,2011,6735.0
North Carolina,2011,6705.0
South Carolina,2011,6638.0
Tennessee,2011,6738.0
Virginia,2011,6790.0
West Virginia,2011,8210.0
Southwest,2011,6309.0
Arizona,2011,6075.0
New Mexico,2011,6514.0
Oklahoma,2011,6937.0
Texas,2011,6259.0
Rocky Mountains,2011,6032.0
Colorado,2011,6061.0
Idaho,2011,6052.0
Montana,2011,7150.0
Utah,2011,5280.0
Wyoming,2011,7482.0
Far West,2011,6784.0
Alaska,2011,9343.0
California,2011,6741.0
Hawaii,2011,6460.0
Nevada,2011,5973.0
Oregon,2011,6987.0
Washington,2011,7022.0
United States,2012,7477.0
New England,2012,9484.0
Connecticut,2012,9229.0
Maine,2012,8753.0
Massachusetts,2012,9952.0
New Hampshire,2012,8960.0
Rhode Island,2012,8859.0
Vermont,2012,9679.0
Mideast,2012,8735.0
Delaware,2012,9446.0
District of Columbia,2012,11426.0
Maryland,2012,8110.0
New Jersey,2012,8337.0
New York,2012,9085.0
Pennsylvania,2012,8577.0
Great Lakes,2012,7672.0
Illinois,2012,7505.0
Indiana,2012,7618.0
Michigan,2012,7579.0
Ohio,2012,7854.0
Wisconsin,2012,7906.0
Plains,2012,7794.0
Iowa,2012,7547.0
Kansas,2012,7385.0
Minnesota,2012,8242.0
Missouri,2012,7538.0
Nebraska,2012,7824.0
North Dakota,2012,8457.0
South Dakota,2012,8452.0
Southeast,2012,7066.0
Alabama,2012,6797.0
Arkansas,2012,6773.0
Florida,2012,7609.0
Georgia,2012,5981.0
Kentucky,2012,7249.0
Louisiana,2012,7271.0
Mississippi,2012,7210.0
North Carolina,2012,6968.0
South Carolina,2012,6785.0
Tennessee,2012,7011.0
Virginia,2012,7045.0
West Virginia,2012,8712.0
Southwest,2012,6513.0
Arizona,2012,6207.0
New Mexico,2012,6679.0
Oklahoma,2012,7212.0
Texas,2012,6475.0
Rocky Mountains,2012,6229.0
Colorado,2012,6221.0
Idaho,2012,6283.0
Montana,2012,7461.0
Utah,2012,5474.0
Wyoming,2012,7749.0
Far West,2012,7066.0
Alaska,2012,9930.0
California,2012,7038.0
Hawaii,2012,6738.0
Nevada,2012,6056.0
Oregon,2012,7159.0
Washington,2012,7333.0
United States,2013,7611.0
New England,2013,9660.0
Connecticut,2013,9440.0
Maine,2013,8813.0
Massachusetts,2013,10085.0
New Hampshire,2013,9186.0
Rhode Island,2013,9016.0
Vermont,2013,10247.0
Mideast,2013,8967.0
Delaware,2013,9768.0
District of Columbia,2013,11583.0
Maryland,2013,8217.0
New Jersey,2013,8534.0
New York,2013,9371.0
Pennsylvania,2013,8802.0
Great Lakes,2013,7806.0
Illinois,2013,7695.0
Indiana,2013,7647.0
Michigan,2013,7693.0
Ohio,2013,8030.0
Wisconsin,2013,7984.0
Plains,2013,7907.0
Iowa,2013,7638.0
Kansas,2013,7240.0
Minnesota,2013,8533.0
Missouri,2013,7592.0
Nebraska,2013,7928.0
North Dakota,2013,8712.0
South Dakota,2013,8674.0
Southeast,2013,7162.0
Alabama,2013,6969.0
Arkansas,2013,6819.0
Florida,2013,7603.0
Georgia,2013,6229.0
Kentucky,2013,7499.0
Louisiana,2013,7462.0
Mississippi,2013,7203.0
North Carolina,2013,6913.0
South Carolina,2013,6918.0
Tennessee,2013,7128.0
Virginia,2013,7192.0
West Virginia,2013,8891.0
