State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
South Carolina,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32747,34398,35794,35906,37735,39577,40732,42368
South Dakota,25251,26727,27563,27497,29883,31871,33534,34983,38330,40891,39435,41274,44530,44992,44983,46727,48302,48279,49404
Tennessee,25756,26998,27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37698,39082,39102,40230,41942,42943,44411
Texas,26452,28253,29601,29481,30176,31097,33136,35422,36879,39841,37234,38910,41937,43863,44396,46739,46760,45862,48518
Utah,22995,24162,24867,25167,25749,26980,28751,31107,32924,33784,31796,32038,34022,35633,36116,37638,39899,41312,43044
Vermont,27000,29002,30704,31194,32282,33955,34573,36609,38595,40774,40358,41492,43756,44861,45298,46897,48120,48831,50011
Virginia,30574,32631,33940,34495,36151,38082,40027,42164,44020,45383,44091,45443,47564,49052,48198,49764,51620,52659,54380
Washington,30786,32538,32986,33222,34267,36309,37202,39744,42524,44098,41679,42327,44281,47057,47454,50265,52415,54302,56805
West Virginia,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35092,36242,37067,37074,38840
Wisconsin,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41069,42641,42688,44159,45932,46598,48313
Wyoming,27404,29426,31215,31810,33642,35921,38907,43805,45634,49451,44499,46395,50630,53596,52836,56252,56122,53421,56377
