State,Year,Spending
South Dakota,2002,3676.0
Southeast,2002,327734.0
Alabama,2002,20219.0
Arkansas,2002,11785.0
Florida,2002,83798.0
Georgia,2002,35213.0
Kentucky,2002,19725.0
Louisiana,2002,20435.0
Mississippi,2002,12587.0
North Carolina,2002,38084.0
South Carolina,2002,18678.0
Tennessee,2002,27170.0
Virginia,2002,30559.0
West Virginia,2002,9479.0
Southwest,2002,135362.0
Arizona,2002,20459.0
New Mexico,2002,7499.0
Oklahoma,2002,15204.0
Texas,2002,92199.0
Rocky Mountains,2002,39412.0
Colorado,2002,19198.0
Idaho,2002,5367.0
Montana,2002,4082.0
Utah,2002,8412.0
Wyoming,2002,2353.0
Far West,2002,204888.0
Alaska,2002,3642.0
California,2002,143994.0
Hawaii,2002,5470.0
Nevada,2002,8852.0
Oregon,2002,15447.0
Washington,2002,27484.0
United States,2003,1476505.0
New England,2003,88618.0
Connecticut,2003,21661.0
Maine,2003,7841.0
Massachusetts,2003,42381.0
New Hampshire,2003,6707.0
Rhode Island,2003,6420.0
Vermont,2003,3608.0
Mideast,2003,281047.0
Delaware,2003,5026.0
District of Columbia,2003,4347.0
Maryland,2003,29600.0
New Jersey,2003,49013.0
New York,2003,121396.0
Pennsylvania,2003,71666.0
Great Lakes,2003,235677.0
Illinois,2003,63748.0
Indiana,2003,31167.0
Michigan,2003,49153.0
Ohio,2003,61960.0
Wisconsin,2003,29648.0
Plains,2003,104150.0
Iowa,2003,15331.0
Kansas,2003,13991.0
Minnesota,2003,28677.0
Missouri,2003,29601.0
Nebraska,2003,9080.0
North Dakota,2003,3513.0
South Dakota,2003,3957.0
Southeast,2003,354643.0
Alabama,2003,22493.0
Arkansas,2003,12583.0
Florida,2003,90581.0
Georgia,2003,37654.0
Kentucky,2003,20930.0
Louisiana,2003,22161.0
Mississippi,2003,13477.0
North Carolina,2003,41233.0
South Carolina,2003,20071.0
Tennessee,2003,29738.0
Virginia,2003,33522.0
West Virginia,2003,10200.0
Southwest,2003,145187.0
Arizona,2003,22539.0
New Mexico,2003,8050.0
Oklahoma,2003,16667.0
Texas,2003,97931.0
Rocky Mountains,2003,42639.0
Colorado,2003,20764.0
Idaho,2003,5798.0
Montana,2003,4416.0
Utah,2003,9142.0
Wyoming,2003,2519.0
Far West,2003,224543.0
Alaska,2003,3955.0
California,2003,158409.0
Hawaii,2003,5952.0
Nevada,2003,9842.0
Oregon,2003,16585.0
Washington,2003,29800.0
United States,2004,1582999.0
New England,2004,95122.0
Connecticut,2004,23474.0
Maine,2004,8501.0
Massachusetts,2004,44960.0
New Hampshire,2004,7396.0
Rhode Island,2004,6927.0
Vermont,2004,3864.0
Mideast,2004,299190.0
Delaware,2004,5464.0
District of Columbia,2004,4746.0
Maryland,2004,31749.0
New Jersey,2004,51867.0
New York,2004,128842.0
Pennsylvania,2004,76522.0
Great Lakes,2004,251683.0
Illinois,2004,67275.0
Indiana,2004,33620.0
Michigan,2004,52899.0
Ohio,2004,66095.0
Wisconsin,2004,31794.0
Plains,2004,110536.0
Iowa,2004,16156.0
Kansas,2004,14920.0
Minnesota,2004,30528.0
Missouri,2004,31229.0
Nebraska,2004,9768.0
North Dakota,2004,3764.0
South Dakota,2004,4171.0
Southeast,2004,384435.0
Alabama,2004,23734.0
Arkansas,2004,13417.0
Florida,2004,98765.0
Georgia,2004,41438.0
Kentucky,2004,22325.0
Louisiana,2004,23806.0
Mississippi,2004,14617.0
North Carolina,2004,44848.0
South Carolina,2004,21594.0
Tennessee,2004,32507.0
Virginia,2004,36461.0
West Virginia,2004,10922.0
Southwest,2004,155557.0
Arizona,2004,24813.0
New Mexico,2004,8892.0
Oklahoma,2004,17488.0
Texas,2004,104364.0
Rocky Mountains,2004,45723.0
Colorado,2004,22121.0
Idaho,2004,6226.0
Montana,2004,4701.0
Utah,2004,9985.0
Wyoming,2004,2689.0
Far West,2004,240753.0
Alaska,2004,4249.0
California,2004,169543.0
Hawaii,2004,6389.0
Nevada,2004,10950.0
Oregon,2004,17929.0
Washington,2004,31694.0
United States,2005,1694411.0
New England,2005,101227.0
Connecticut,2005,24506.0
Maine,2005,9067.0
Massachusetts,2005,47892.0
New Hampshire,2005,8161.0
Rhode Island,2005,7460.0
Vermont,2005,4140.0
Mideast,2005,317484.0
Delaware,2005,5871.0
District of Columbia,2005,5052.0
Maryland,2005,33972.0
New Jersey,2005,55870.0
New York,2005,134895.0
Pennsylvania,2005,81825.0
Great Lakes,2005,267060.0
Illinois,2005,71610.0
Indiana,2005,35397.0
Michigan,2005,55925.0
Ohio,2005,70078.0
Wisconsin,2005,34049.0
Plains,2005,117225.0
Iowa,2005,17218.0
Kansas,2005,15807.0
Minnesota,2005,32396.0
Missouri,2005,32801.0
Nebraska,2005,10448.0
North Dakota,2005,3990.0
South Dakota,2005,4566.0
Southeast,2005,410689.0
Alabama,2005,25343.0
Arkansas,2005,14567.0
Florida,2005,106236.0
Georgia,2005,43779.0
Kentucky,2005,23672.0
Louisiana,2005,24770.0
Mississippi,2005,15588.0
North Carolina,2005,48248.0
South Carolina,2005,23092.0
Tennessee,2005,34536.0
Virginia,2005,39235.0
West Virginia,2005,11623.0
Southwest,2005,172105.0
Arizona,2005,28264.0
New Mexico,2005,9864.0
Oklahoma,2005,19040.0
Texas,2005,114937.0
Rocky Mountains,2005,48704.0
Colorado,2005,22936.0
Idaho,2005,6846.0
Montana,2005,5114.0
Utah,2005,10884.0
Wyoming,2005,2924.0
Far West,2005,259917.0
Alaska,2005,4722.0
California,2005,182624.0
Hawaii,2005,6956.0
Nevada,2005,11945.0
Oregon,2005,19492.0
Washington,2005,34177.0
United States,2006,1806963.0
New England,2006,108472.0
Connecticut,2006,25997.0
Maine,2006,9656.0
Massachusetts,2006,51634.0
New Hampshire,2006,8848.0
Rhode Island,2006,7788.0
Vermont,2006,4550.0
Mideast,2006,335952.0
Delaware,2006,6274.0
District of Columbia,2006,5280.0
Maryland,2006,36915.0
New Jersey,2006,58551.0
New York,2006,143006.0
Pennsylvania,2006,85926.0
Great Lakes,2006,284375.0
Illinois,2006,76398.0
Indiana,2006,37972.0
Michigan,2006,60010.0
Ohio,2006,73443.0
Wisconsin,2006,36553.0
Plains,2006,123940.0
Iowa,2006,18410.0
Kansas,2006,16648.0
Minnesota,2006,34458.0
